構想区域人口,手術総数,救急車の受入件数,施設全体_医師_常勤,新規入棟患者数のうち施設からの入院の割合,新規入棟患者数のうち他病棟、他院から転棟の割合,新規入棟患者のうち夜間・時間外に受診診察後直ちに入院となった患者の割合,病床利用率,平均存棟日数,院内総病床数,病床数の全体に占める割合,構想区域人口あたりの医師数,構想区域内の救急車受入数の最大割合
351579,245.0,10,3,0.0,0.0,15.206692913385828,60.26418786692759,3.7738970588235294,28,100.0,0.709940013482034,41.49096385542169
244008,282.0,2049,18,6.238303181534623,1.154086088583905,9.895513214505225,68.25031133250312,10.356850393700787,273,48.35164835164835,0.3557260417691223,49.32055749128919
60324,1017.0,1228,47,4.1266545548922915,13.210485336101737,6.361136571952337,77.504157098741,12.788084661614842,263,65.77946768060836,1.6477687156024137,50.14291547570436
519577,40.0,412,28,0.0,63.78865979381443,7.08502024291498,102.82030620467364,16.432710882163555,142,23.943661971830984,1.1719148461152054,29.571659623310897
730325,418.0,2206,6,0.0,0.0,0.0,31.11751982696467,4.586609989373008,38,100.0,0.8434601033786328,23.334078212290503
1440971,55.0,40,8,7.18954248366013,49.01960784313725,0.0,92.95890410958904,108.40255591054313,199,25.125628140703515,0.6096583484331052,13.552221066706286
697598,243.0,224,9,4.53257790368272,19.759206798866856,4.815864022662889,95.0513698630137,19.64260438782732,80,100.0,2.2776728144289407,33.02686136650442
771746,30.0,302,13,10.521140609636184,23.992133726647,4.429530201342282,78.6652616789603,33.16288252714709,300,39.0,4.576505741526358,8.977671512861054
1155470,100.0,81,2,31.11888111888112,6.293706293706294,9.615384615384617,66.66666666666666,20.27777777777778,48,100.0,3.779068257938328,4.6812581991063595
730325,279.0,360,4,10.853658536585366,1.5853658536585367,11.951219512195122,69.69406392694063,18.61341463414634,60,100.0,0.8434601033786328,23.334078212290503
243225,246.0,0,3,0.0,0.0,0.0,56.24657534246575,5.190897597977244,30,100.0,1.0052420598211531,52.32970934102508
793551,514.0,159,0,7.7930582842174205,14.145383104125736,2.4662360540223136,38.702411967392216,7.419365232801676,377,43.23607427055703,1.2755323854421456,19.66480446927374
2501526,1456.0,2006,59,6.962264150943397,16.962264150943398,9.114062215754046,56.847917249091424,15.289097744360902,434,90.3225806451613,1.437002853458249,11.79884939387713
1440971,422.0,561,5,1.0318142734307825,16.33705932932072,7.0020394289598915,75.92465753424658,3.7994858611825193,20,80.0,0.6096583484331052,13.552221066706286
166529,3433.0,4318,100,2.343844388063308,13.07236921589948,9.478203434610304,77.93845263360987,9.760314104500152,310,91.61290322580645,0.7410120759747553,83.19845857418112
531855,558.0,443,8,5.100830367734282,4.6263345195729535,3.316749585406302,90.12557077625571,18.47864248098303,183,26.229508196721312,1.7786802793994603,26.106763854646804
484282,321.0,198,15,6.205035971223022,14.388489208633093,4.375497215592681,66.25705076551169,14.69615728328865,122,55.73770491803278,1.1326045568491085,45.275545350172216
68200,2143.0,2554,54,4.666556346185669,9.035247393678636,11.925708699902248,80.87829802228781,15.128779764356926,376,82.7127659574468,0.9384164222873901,90.50318922749823
516816,133.0,323,13,5.719733079122975,5.624404194470925,5.138339920948617,85.32534246575342,14.499515033947624,60,80.0,2.473027150862202,21.976645794550688
215393,347.0,1137,7,13.127413127413126,11.454311454311455,34.97797356828194,97.49395648670426,15.581455247907277,54,62.96296296296296,0.9127501822250491,55.08253692441355
244008,60.0,45,2,14.596273291925465,58.38509316770186,5.230125523012552,79.92649515536252,36.97372488408037,172,23.837209302325583,0.3557260417691223,49.32055749128919
1711269,797.0,0,9,0.0,0.0,0.0,37.54145638067772,5.94406392694064,38,100.0,1.1898187836044478,11.261237393807733
2501526,0.0,0,1,2.3391812865497075,5.263157894736842,0.0,63.913894324853224,95.49707602339181,35,100.0,1.437002853458249,11.79884939387713
1155470,485.0,810,0,16.724336793540946,13.033448673587081,5.766115970197603,70.30684931506849,9.125889046941678,259,19.305019305019304,3.779068257938328,4.6812581991063595
884635,1112.0,5516,69,2.1763187015861307,21.50497971228329,15.351879580739222,91.50408191504083,12.198856299575723,378,26.19047619047619,1.4360725044792484,21.255758979183252
351579,50.0,55,2,8.29310124164163,17.59289694723542,9.024316400220012,74.89414694894147,17.78386165132683,110,50.0,0.709940013482034,41.49096385542169
1407697,11.0,219,2,0.0,0.0,22.84263959390863,67.84735812133073,35.55897435897436,28,100.0,1.1160782469522914,18.822195727381118
1365611,2025.0,4667,50,2.3656320968962907,30.715367146101443,9.982914327556749,90.59615826126884,11.211478359693153,241,74.27385892116183,0.7840446510755992,20.365994394680442
427103,293.0,0,4,8.29310124164163,17.59289694723542,9.024316400220012,35.035284350352846,7.263339070567986,33,100.0,0.9859448423448209,55.56134410002605
