TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
休日に受診した患者延べ数,休日に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,夜間・時間外に受診した患者延べ数,夜間・時間外に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,救急車の受入件数,施設全体_医師_常勤,施設全体_医師_非常勤,,,,,,,,,,,,,うち、予定外の救急医療入院の患者（年間）,在棟患者延べ数（年間）,退棟患者数（年間）,新規入棟患者数（年間）.1,うち、院内の他病棟からの転棟（年間）,うち、家庭からの入院（年間）,うち、他の病院、診療所からの転院（年間）,うち、介護施設、福祉施設からの入院（年間）,うち、介護医療院からの入院（年間）,うち、院内の出生（年間）,うち、その他（年間）,構想区域人口
0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,
1120,351,831,457,1305,21,1,,,,,,,,,,,,,,,,,,,,,,,,
1120,351,831,457,1305,21,1,,,,,,,,,,,,,,,,,,,,,,,,
1120,351,831,457,1305,21,1,,,,,,,,,,,,,,,,,,,,,,,,
1120,351,831,457,1305,21,1,,,,,,,,,,,,,,,,,,,,,,,,
78,15,61,35,66,4,1,,,,,,,,,,,,,,,,,,,,,,,,
78,15,61,35,66,4,1,,,,,,,,,,,,,,,,,,,,,,,,
78,15,61,35,66,4,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,11,1.1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,11,1.1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,11,1.1,,,,,,,,,,,,,,,,,,,,,,,,
813,60,254,50,258,6,0,,,,,,,,,,,,,,,,,,,,,,,,
813,60,254,50,258,6,0.6,,,,,,,,,,,,,,,,,,,,,,,,
58,35,40,25,55,7,3,,,,,,,,,,,,,,,,,,,,,,,,
58,35,40,25,55,7,3.4,,,,,,,,,,,,,,,,,,,,,,,,
58,35,40,25,55,7,3,,,,,,,,,,,,,,,,,,,,,,,,
510,206,2080,673,1572,94,3.4,,,,,,,,,,,,,,,,,,,,,,,,
510,206,2080,673,1572,94,3.4,,,,,,,,,,,,,,,,,,,,,,,,
510,206,2080,673,1572,94,3.4,,,,,,,,,,,,,,,,,,,,,,,,
510,206,2080,673,1572,94,3.4,,,,,,,,,,,,,,,,,,,,,,,,
510,206,2080,673,1572,94,3.4,,,,,,,,,,,,,,,,,,,,,,,,
510,206,2080,673,1572,94,3.4,,,,,,,,,,,,,,,,,,,,,,,,
510,206,2080,673,1572,94,3.4,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,
30,0,482,25,45,11,3.3,,,,,,,,,,,,,,,,,,,,,,,,
30,0,482,25,45,11,3.3,,,,,,,,,,,,,,,,,,,,,,,,
30,0,482,25,45,11,3.3,,,,,,,,,,,,,,,,,,,,,,,,
109,55,328,207,542,19,0.4,,,,,,,,,,,,,,,,,,,,,,,,
109,55,328,207,542,19,0.4,,,,,,,,,,,,,,,,,,,,,,,,
109,55,328,207,542,19,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
53,20,65,10,70,5,3.1,,,,,,,,,,,,,,,,,,,,,,,,
53,20,65,10,70,5,3.1,,,,,,,,,,,,,,,,,,,,,,,,
53,20,65,10,70,5,3,,,,,,,,,,,,,,,,,,,,,,,,
89,55,137,60,230,11,0,,,,,,,,,,,,,,,,,,,,,,,,
89,55,137,60,230,11,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,30,33,2,,,,,,,,,,,,,,,,,,,,,,,,
19,5,0,0,50,4,2.4,,,,,,,,,,,,,,,,,,,,,,,,
19,5,0,0,50,4,2.4,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
596,300,1485,943,1589,256,245.5,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12.8,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12.8,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12.8,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12.8,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12.8,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12.8,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12.8,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12,,,,,,,,,,,,,,,,,,,,,,,,
1846,417,3802,920,4176,40,12,,,,,,,,,,,,,,,,,,,,,,,,
55,40,173,71,110,9,0,,,,,,,,,,,,,,,,,,,,,,,,
55,40,173,71,110,9,0,,,,,,,,,,,,,,,,,,,,,,,,
231,63,1034,296,773,7,1.2,,,,,,,,,,,,,,,,,,,,,,,,
231,63,1034,296,773,7,1.2,,,,,,,,,,,,,,,,,,,,,,,,
231,63,1034,296,773,7,1.2,,,,,,,,,,,,,,,,,,,,,,,,
50,0,50,0,50,12,0.8,,,,,,,,,,,,,,,,,,,,,,,,
104,50,255,55,69,13,1.8,,,,,,,,,,,,,,,,,,,,,,,,
104,50,255,55,69,13,1.8,,,,,,,,,,,,,,,,,,,,,,,,
0,0,30,25,35,5,3,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0.4,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0.4,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0.4,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0.4,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0.4,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0.4,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0.4,,,,,,,,,,,,,,,,,,,,,,,,
994,189,456,233,1352,53,0,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
592,151,935,272,3263,154,44,,,,,,,,,,,,,,,,,,,,,,,,
424,60,217,50,318,21,10,,,,,,,,,,,,,,,,,,,,,,,,
424,60,217,50,318,21,10,,,,,,,,,,,,,,,,,,,,,,,,
424,60,217,50,318,21,10,,,,,,,,,,,,,,,,,,,,,,,,
185,66,634,152,617,26,3.4,,,,,,,,,,,,,,,,,,,,,,,,
185,66,634,152,617,26,3.4,,,,,,,,,,,,,,,,,,,,,,,,
185,66,634,152,617,26,3,,,,,,,,,,,,,,,,,,,,,,,,
185,66,634,152,617,26,3.4,,,,,,,,,,,,,,,,,,,,,,,,
185,66,634,152,617,26,3.4,,,,,,,,,,,,,,,,,,,,,,,,
185,66,634,152,617,26,3.4,,,,,,,,,,,,,,,,,,,,,,,,
40,20,45,30,55,12,1,,,,,,,,,,,,,,,,,,,,,,,,
40,20,45,30,55,12,1,,,,,,,,,,,,,,,,,,,,,,,,
40,20,45,30,55,12,1,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
1695,471,1116,385,1538,135,8.6,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,
35,0,35,0,0,5,1.7,,,,,,,,,,,,,,,,,,,,,,,,
529,181,1451,408,1508,100,7,,,,,,,,,,,,,,,,,,,,,,,,
529,181,1451,408,1508,100,7,,,,,,,,,,,,,,,,,,,,,,,,
529,181,1451,408,1508,100,7,,,,,,,,,,,,,,,,,,,,,,,,
529,181,1451,408,1508,100,7,,,,,,,,,,,,,,,,,,,,,,,,
529,181,1451,408,1508,100,7,,,,,,,,,,,,,,,,,,,,,,,,
529,181,1451,408,1508,100,7,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
76,50,66,55,162,6,2.2,,,,,,,,,,,,,,,,,,,,,,,,
76,50,66,55,162,6,2,,,,,,,,,,,,,,,,,,,,,,,,
76,50,66,55,162,6,2,,,,,,,,,,,,,,,,,,,,,,,,
904,45,0,0,151,11,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
35,18,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,
10,0,5,0,20,6,2.5,,,,,,,,,,,,,,,,,,,,,,,,
60,5,10,0,50,4,1.3,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,
85,5,780,66,227,9,0.5,,,,,,,,,,,,,,,,,,,,,,,,
353,35,109,55,123,5,4,,,,,,,,,,,,,,,,,,,,,,,,
353,35,109,55,123,5,4,,,,,,,,,,,,,,,,,,,,,,,,
